release_year,runtime_minutes,success_class,log_budget,log_google_trends_average,is_summer_release,is_holiday_release,genre_count,is_franchise,num_production_companies,country_count,language_count,is_english,director_avg_gross,writer_avg_gross,creative_type_encoded,genre_Action,genre_Adventure,genre_Black Comedy,genre_Comedy,genre_Concert/Performance,genre_Documentary,genre_Drama,genre_Horror,genre_Multiple Genres,genre_Musical,genre_Reality,genre_Romantic Comedy,genre_Thriller/Suspense,genre_Unknown,genre_Western,primary_genre_encoded
2021,105.0,0.0,19.06253463538792,3.516827563957438,0,1,1,0,0,1,1,0,18.86994941619857,18.779152370713682,13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13
2015,105.0,0.0,19.049289408708074,3.349337996118814,0,1,1,0,0,1,1,0,0.0,20.55894464316913,13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13
2008,125.0,1.0,19.04125723705382,3.640975993480897,0,0,1,1,3,2,1,1,17.386787366912504,20.01072325093458,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2008,105.0,1.0,19.035866388448003,4.030522630151381,1,0,1,0,0,1,1,0,17.318522207053125,18.684082532087242,13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13
2022,125.0,1.0,19.035866388448003,3.589771750253297,1,0,1,1,3,2,1,1,17.307526191423715,21.11436920249841,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,123.0,1.0,19.035866388448003,3.2813961818495345,1,0,1,1,1,4,3,1,19.445808628637458,19.521051745661584,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2012,93.0,1.0,19.035866388448003,3.749124497258135,1,0,1,0,1,2,1,1,19.202814465829974,20.125024907310433,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2017,118.0,1.0,19.035866388448003,3.830742973444721,0,0,1,1,3,2,1,1,0.0,20.086642779106327,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2016,122.0,0.0,19.035866388448003,3.2740968793679235,1,0,1,1,5,2,1,1,16.9745167703398,19.430293471919395,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019,118.0,1.0,19.035866388448003,2.2563722498389143,0,0,1,1,2,2,1,1,18.634196020411565,20.09634975366597,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2017,125.0,0.0,19.035866388448003,2.9876350633213717,0,0,1,1,7,2,1,1,17.334718530775064,19.57760945597264,11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12
2019,125.0,0.0,19.035866388448003,3.377257174116147,0,0,1,1,6,2,1,1,20.47729840624677,19.716146747053187,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
